,,standard withdraw rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8616-Liaoning Branch,personal sales,0.6708%,1.5369%,2.8246%,3.2808%,3.8766%,6.0023%,8.3699%,9.3270%,10.0879%,10.2855%,10.5442%,10.9124%,0.8896%,1.2217%,1.7417%,2.3237%,2.8740%,3.2363%,3.6072%,3.9797%,4.5206%,4.9436%,5.4035%,5.8009%,0.4942%,0.8391%,1.3219%,1.6448%,1.9632%,2.3648%,2.7521%,3.0598%,3.9596%,4.3293%,4.6812%,5.2835%,0.6760%,1.0138%,1.5277%,1.8601%,2.1365%,2.6810%,2.6515%,2.8816%,3.0873%,3.2682%,3.4567%,3.8520%,0.2168%,0.4575%,0.7368%,0.8866%,0.9996%,1.1597%,1.2963%,1.5119%,1.7506%,1.8335%,2.2697%,2.5022%,0.2806%,0.5720%,0.8100%,0.9381%,1.0969%,2.0533%
8617-Henan Branch,personal sales,0.3666%,0.7213%,1.1726%,1.4879%,1.7971%,2.1528%,2.4172%,2.6998%,2.9398%,3.1319%,3.3482%,3.6652%,0.4843%,0.6952%,1.0601%,1.3422%,1.6543%,1.8886%,2.1514%,2.3982%,2.6500%,2.9286%,3.1374%,3.4358%,0.3683%,0.5879%,0.9631%,1.2451%,1.5085%,1.7442%,2.0777%,2.2688%,2.5345%,2.6740%,2.8873%,3.1741%,0.2659%,0.4702%,0.7342%,0.9441%,1.1835%,1.4279%,1.6533%,1.9237%,2.1285%,2.3040%,2.6917%,2.9892%,0.2259%,0.3694%,0.5850%,0.7687%,0.9291%,1.1187%,1.3954%,1.6063%,1.7786%,1.9042%,2.0804%,2.3487%,0.1825%,0.3748%,0.7111%,0.8766%,1.1271%,1.4203%
8618-Ningbo Center Branch,personal sales,0.0486%,0.9841%,1.0567%,2.0048%,2.4227%,2.8016%,3.5854%,4.0795%,4.1453%,4.2865%,4.5050%,4.9284%,0.1128%,0.3555%,0.6124%,0.7197%,1.1896%,1.3024%,1.3317%,1.7124%,1.8210%,1.8712%,2.0730%,2.3848%,0.3041%,0.7253%,0.8521%,1.2375%,1.3826%,1.4798%,1.7149%,1.7631%,1.8248%,1.9016%,2.1205%,2.6053%,0.2357%,0.3632%,0.4868%,0.5490%,0.6562%,1.0352%,1.0458%,1.2591%,1.4002%,1.5081%,1.8664%,2.0443%,0.1229%,0.3800%,0.6980%,0.7497%,0.8998%,1.0784%,1.1874%,1.4497%,1.5715%,1.6458%,1.7626%,2.3084%,0.1163%,0.1846%,0.2313%,0.4638%,0.5639%,1.1096%
8619-Shenzhen Branch,personal sales,0.1266%,0.3977%,0.5449%,0.8297%,1.2274%,1.3946%,1.6402%,1.8459%,2.1647%,3.9760%,4.1791%,4.5624%,0.4313%,0.5530%,0.8271%,1.4607%,1.5412%,1.6931%,2.0797%,2.2587%,2.6371%,3.0351%,3.4391%,4.3182%,0.1004%,0.1796%,0.3743%,0.5593%,1.2694%,1.3284%,1.4505%,1.5021%,1.7917%,2.5015%,3.2534%,3.4734%,0.3916%,0.6080%,0.6405%,0.6818%,0.8664%,3.9301%,8.8982%,9.1110%,9.1561%,9.2011%,9.2867%,9.5241%,0.3243%,0.3568%,1.1080%,1.4166%,1.7722%,1.7710%,1.7705%,2.3801%,2.4600%,2.5869%,2.5643%,2.8661%,0.1443%,0.1434%,0.5887%,0.7798%,0.7638%,2.3680%
8620-Qingdao Branch,personal sales,0.4973%,0.9957%,1.3487%,2.0397%,2.5556%,2.8078%,3.2925%,3.5528%,3.7226%,3.9117%,4.3017%,5.3456%,0.5861%,0.8006%,1.1218%,1.2706%,1.6927%,2.8708%,3.3468%,3.6447%,4.1718%,4.4653%,4.8762%,5.5266%,0.2641%,0.5623%,1.1297%,1.5417%,1.8583%,2.1201%,2.4061%,3.0082%,3.3108%,3.6788%,4.1656%,4.7100%,0.2018%,0.5910%,0.8661%,1.2096%,1.6246%,1.9176%,2.2365%,2.3442%,2.7229%,2.7491%,2.9949%,3.4486%,0.1810%,0.2656%,0.4786%,0.6721%,0.8448%,1.0604%,1.0826%,1.2441%,1.4696%,1.5917%,1.7894%,2.1363%,0.1517%,0.2531%,0.4534%,0.6207%,0.7043%,1.6513%
8621-Hebei Branch,personal sales,0.4917%,1.0163%,1.4506%,1.9164%,2.3257%,2.7268%,3.6171%,4.1178%,4.5077%,4.8020%,5.3520%,6.3206%,0.9558%,1.2688%,1.8046%,2.3046%,2.7321%,2.9931%,3.4798%,3.8806%,4.3213%,4.7632%,5.1639%,5.6684%,0.6072%,0.8901%,1.2862%,1.5845%,1.9926%,2.4340%,2.7042%,2.9327%,3.1284%,3.4083%,3.9050%,4.3451%,0.3814%,0.5729%,0.8246%,1.1277%,1.4109%,1.8199%,1.9525%,2.2243%,2.4529%,2.6408%,2.8670%,3.2485%,0.2622%,0.4012%,0.6270%,0.8196%,0.9903%,1.1791%,1.4000%,1.6230%,1.8328%,1.9816%,2.1927%,2.4321%,0.1911%,0.3416%,0.5349%,0.6768%,0.8298%,1.7432%
8622-Jiangxi Branch,personal sales,0.6693%,1.5737%,2.3143%,3.0649%,3.5746%,3.7438%,4.2598%,4.8104%,5.5029%,5.8708%,6.3338%,7.0571%,0.8351%,1.2281%,2.0147%,2.5537%,2.9931%,3.3275%,3.9617%,4.3102%,4.6738%,4.9962%,5.3992%,5.9232%,0.3963%,0.6514%,1.0257%,1.3570%,1.7010%,1.9763%,2.1864%,2.4022%,2.6843%,2.9044%,3.0940%,3.3481%,0.2962%,0.5143%,0.8064%,0.9968%,1.1876%,1.3683%,1.4458%,1.5881%,1.7742%,1.9209%,2.0991%,2.3126%,0.1373%,0.2985%,0.4543%,0.5648%,0.7265%,0.8963%,1.1259%,1.5647%,1.8775%,1.9696%,2.1270%,2.2814%,0.2239%,0.3415%,0.5068%,0.6700%,0.8328%,1.5721%
8623-Shanghai Branch,personal sales,0.0971%,0.1150%,0.1087%,0.1067%,0.1191%,0.1153%,0.3031%,3.4563%,3.9311%,4.6093%,4.8938%,5.6395%,0.1663%,0.1663%,0.1663%,0.3442%,0.3442%,0.3442%,2.2241%,2.2160%,2.2160%,2.2160%,2.3762%,2.4190%,0.4888%,2.4918%,2.4916%,2.9644%,2.9642%,3.5067%,6.7729%,6.7724%,7.0204%,7.0199%,7.1378%,8.2711%,0.4504%,0.4631%,0.4655%,0.5487%,0.5487%,0.5487%,0.9734%,1.4058%,1.0167%,0.9157%,1.3830%,1.9116%,0.1260%,0.1756%,1.3183%,1.7954%,2.0036%,3.3502%,4.3093%,6.4123%,9.2980%,9.8479%,11.1949%,12.3904%,0.9059%,1.8586%,2.7674%,2.7715%,3.0187%,4.2107%
8624-Shanxi Branch,personal sales,0.1617%,0.4750%,0.6906%,0.7589%,1.0002%,1.1765%,1.3515%,2.0171%,2.1882%,2.3336%,2.5493%,2.5871%,0.1873%,0.4253%,0.7061%,0.9337%,1.1048%,1.5425%,1.7376%,2.0879%,2.3211%,2.6058%,2.5979%,2.8080%,0.2780%,0.3767%,0.6225%,0.8720%,1.0389%,1.1663%,1.9869%,2.1229%,2.3050%,2.6963%,2.9207%,3.3085%,0.3852%,0.6075%,0.7973%,0.9378%,1.1237%,1.2881%,1.3155%,1.5152%,1.6085%,1.6893%,1.7696%,1.8549%,0.1398%,0.1842%,0.3853%,0.4988%,0.6147%,0.7688%,0.9433%,1.2590%,1.4371%,1.5395%,1.6649%,2.1481%,0.1772%,0.3313%,0.5052%,0.5826%,0.7002%,1.0837%
8625-Dalinan Branch,personal sales,0.6289%,1.1468%,7.3410%,7.4126%,7.8354%,8.1979%,9.4002%,10.2949%,10.3299%,10.8662%,11.5992%,13.4196%,2.6576%,3.3799%,4.2532%,5.2609%,5.8203%,6.7502%,7.1173%,7.3714%,7.5459%,7.6639%,7.8651%,8.2781%,0.3814%,0.5613%,0.9277%,1.1104%,1.2223%,1.8947%,1.9753%,2.9097%,3.1491%,3.3837%,3.5663%,4.1166%,0.4097%,0.5898%,1.7345%,1.8900%,2.0885%,2.5164%,2.3696%,2.6249%,2.9350%,3.0033%,3.2129%,3.8464%,0.3412%,0.4724%,0.6180%,0.7715%,0.9268%,1.1209%,1.2546%,1.4048%,1.5921%,1.8177%,2.0289%,2.4496%,0.2608%,0.4216%,0.5303%,1.4465%,1.5137%,2.3648%
8626-Fujian Branch,personal sales,0.7209%,1.2263%,1.6814%,1.7554%,1.9926%,2.1164%,2.2452%,2.4727%,2.6931%,2.8673%,3.5148%,3.7524%,0.6169%,0.7847%,1.0916%,1.2713%,1.4170%,1.5999%,1.9508%,2.1152%,2.2153%,2.2834%,2.5879%,2.6600%,0.3188%,0.4690%,0.7268%,1.1179%,1.2294%,1.3651%,1.3842%,1.4386%,1.5805%,1.8003%,1.9215%,2.0911%,0.1319%,0.2543%,0.4179%,0.7309%,0.8239%,0.9489%,0.9513%,1.0412%,1.1306%,1.2599%,1.3490%,1.5220%,0.1196%,0.1885%,0.4387%,0.5389%,0.6872%,0.9233%,0.9896%,1.1396%,1.3220%,1.4274%,1.5529%,1.6637%,0.1262%,0.2775%,0.4303%,0.5655%,0.6730%,0.9670%
8627-Jilin Branch,personal sales,0.2535%,0.6723%,1.0479%,1.3407%,1.5959%,1.9809%,2.3970%,2.6999%,3.0270%,3.2125%,4.0831%,4.8295%,1.1084%,1.5033%,2.1090%,2.7175%,3.0659%,3.3571%,3.7021%,4.0640%,4.1793%,4.5683%,4.9712%,5.5759%,0.5380%,0.8090%,1.1907%,1.5234%,2.0471%,2.3520%,2.5706%,2.7737%,2.9832%,3.0867%,3.3687%,3.6902%,0.3208%,0.5440%,0.7822%,1.1055%,1.2718%,1.5004%,1.5332%,1.7095%,1.8983%,2.0550%,2.3163%,2.5065%,0.2594%,0.4102%,0.6330%,0.8163%,0.9535%,1.2430%,1.4702%,1.7409%,1.9324%,2.1083%,2.3932%,2.7595%,0.2511%,0.3785%,0.5989%,0.8021%,1.0235%,1.5533%
8628-Xinjiang Branch,personal sales,0.1378%,0.1981%,0.2085%,0.3397%,0.5713%,0.8159%,1.2793%,1.5073%,1.9915%,2.2147%,2.3177%,2.6674%,0.3217%,0.6537%,1.1394%,1.5904%,1.8793%,1.9876%,2.3081%,2.4051%,2.6874%,3.1581%,3.3666%,3.6522%,0.4196%,1.0303%,1.3702%,1.7427%,1.8917%,1.9896%,2.1229%,2.2474%,2.5105%,2.6513%,2.8331%,3.2022%,0.4333%,0.6390%,0.8275%,1.0803%,1.1978%,1.3616%,1.4957%,1.7629%,1.9958%,2.2111%,2.4506%,2.8459%,0.2140%,0.3645%,1.0733%,1.2359%,1.3713%,1.5816%,1.8538%,2.0416%,2.1989%,2.4132%,2.7381%,3.1727%,0.2193%,0.4133%,0.6400%,0.7721%,0.9158%,1.5263%
8629-Guangxi Branch,personal sales,0.7644%,1.2086%,1.5398%,1.8051%,2.4712%,2.6800%,3.2025%,3.4028%,2.9781%,2.9297%,2.7975%,3.1878%,1.8608%,2.6567%,3.0308%,3.6345%,4.9459%,5.2166%,5.4635%,4.8657%,5.2205%,5.3516%,5.8693%,6.2298%,0.6859%,0.8810%,1.1702%,1.3406%,1.7702%,2.0662%,2.5036%,3.3043%,3.5873%,3.8661%,4.0600%,4.2506%,0.2656%,0.7992%,1.1935%,1.3616%,1.5192%,1.5529%,1.5368%,1.8580%,1.9735%,2.0625%,2.2110%,2.6133%,0.1516%,0.2093%,0.3293%,0.4426%,0.7599%,0.9139%,1.0813%,1.1290%,1.2734%,1.3816%,1.5440%,1.7999%,0.1324%,0.2717%,0.4635%,0.6275%,0.7686%,1.3410%
8630-Gansu Branch,personal sales,0.0000%,0.0000%,0.3175%,0.2567%,0.2023%,0.3569%,0.3430%,0.4347%,0.3994%,0.2799%,0.2326%,0.3205%,0.2190%,0.2542%,0.4482%,0.6362%,0.5787%,0.6382%,0.6528%,1.1190%,1.0709%,1.0338%,1.0045%,1.1265%,0.2315%,0.3097%,0.7498%,1.0438%,1.2489%,1.4754%,1.6326%,1.8667%,2.0054%,2.3217%,2.5577%,2.7785%,0.4394%,0.6473%,0.9278%,1.2078%,1.3845%,1.7269%,1.5702%,1.6848%,1.7697%,1.7569%,1.8258%,2.0218%,0.1791%,0.2740%,0.3488%,0.4553%,0.5446%,0.6649%,1.0315%,1.3081%,1.4218%,1.4857%,1.5538%,1.6762%,0.2537%,0.3855%,0.5515%,0.6412%,0.7364%,0.9930%
8631-Hainan Branch,personal sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0073%,0.0462%,0.2846%,0.3404%,0.3640%,0.6723%,0.6713%,0.6911%,0.8296%,0.8723%,0.0847%,0.1070%,0.2212%,0.2448%,1.0414%,1.1294%,1.1154%,1.3892%,1.4387%,1.4165%,1.4127%,1.6606%,0.1193%,0.2160%,0.9291%,1.1025%,1.1143%,0.8121%
8632-Ningxia Branch,personal sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0000%,0.0174%,0.0161%,0.0202%,0.0178%,0.0159%,0.1285%,0.4080%,0.4019%,0.5796%,0.5490%,0.5012%,0.5534%,0.1256%,0.5785%,0.5938%,0.6064%,0.6366%,0.4282%
8633-Guizhou Branch,personal sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000%,0.0078%,0.0042%,0.0039%,0.0072%,0.0135%,0.0858%,0.1105%,0.0064%,0.0892%,0.0941%,0.1426%,0.2799%,0.3634%,0.4204%,0.4338%,0.7829%,0.6851%,0.6950%,0.8801%,0.0435%,0.1963%,0.2186%,0.2263%,0.3265%,0.3039%
8634-Weifang Center Branch,personal sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mechanism,personal sales,0.4658%,1.0318%,1.6276%,2.0281%,2.4971%,3.0165%,3.5849%,4.0632%,4.4567%,4.8047%,5.2319%,5.7747%,0.7353%,1.0307%,1.5183%,1.9191%,2.3183%,2.6296%,2.9987%,3.3532%,3.7042%,4.0646%,4.4043%,4.8361%,0.4432%,0.7227%,1.1331%,1.4642%,1.7960%,2.1076%,2.4197%,2.6899%,2.9932%,3.2575%,3.5775%,3.9749%,0.3573%,0.6114%,0.9597%,1.2458%,1.5642%,1.8653%,2.0368%,2.2702%,2.4959%,2.7098%,2.9574%,3.2732%,0.2516%,0.4253%,0.6827%,0.8646%,1.0497%,1.2361%,1.4313%,1.6789%,1.9181%,2.0824%,2.2926%,2.5671%,0.2119%,0.3815%,0.6075%,0.7636%,0.9293%,1.7267%